Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 5/1 ARM,,Online,30.0,Variable,4.625%,4.977439635083581%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 7/1 ARM,,Online,30.0,Variable,4.75%,4.95013578752676%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 10/1 ARM,,Online,30.0,Variable,4.75%,4.90676759677773%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage 20 Yr Fixed,,Online,20.0,Fixed,4.5%,4.5069583673331%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage 30 Yr Fixed,,Online,30.0,Fixed,4.625%,4.6259740271974295%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage 15 Yr Fixed,,Online,15.0,Fixed,4.0%,4.057774605155791%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage 10 Yr Fixed,,Online,10.0,Fixed,4.0%,4.09216296950087%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.375%,4.715%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.708%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.605%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.87%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,4.0%,4.935%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.968%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.601%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.125%,4.591%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.605%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.0%,4.785%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.75%,4.833%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.5%,4.891%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.601%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.125%,4.591%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.605%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.0%,4.785%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.75%,4.833%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.5%,4.891%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.263%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.968%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.93%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.648%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,5.056%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.750%,5.367%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.625%,4.976%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.939%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.808%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.156%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.779%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.625%,4.813%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.71%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-17,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.253%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
