Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 5/1 ARM,,Online,30,Variable,5.13%,5.17%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 7/1 ARM,,Online,30,Variable,4.88%,5.04%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage 10/1 ARM,,Online,30,Variable,5.13%,5.17%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage 20 Yr Fixed,,Online,20,Fixed,4.63%,4.65%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage 30 Yr Fixed,,Online,30,Fixed,4.75%,4.76%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage 15 Yr Fixed,,Online,15,Fixed,4.13%,4.18%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage 10 Yr Fixed,,Online,10,Fixed,4.25%,4.30%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30,Fixed,4.63%,4.98%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20,Fixed,4.38%,4.89%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15,Fixed,4.13%,4.74%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30,Variable,4.38%,5.02%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30,Variable,4.25%,5.06%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30,Variable,3.88%,5.03%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30,Fixed,4.50%,4.87%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20,Fixed,4.38%,4.83%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15,Fixed,4.13%,4.74%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30,Variable,4.25%,4.93%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30,Variable,4.00%,4.95%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30,Variable,3.75%,4.97%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30,Fixed,4.50%,4.87%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20,Fixed,4.38%,4.83%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15,Fixed,4.13%,4.74%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30,Variable,4.25%,4.93%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30,Variable,4.00%,4.95%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30,Variable,3.75%,4.97%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.75%,5.18%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,5.13%,5.48%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.63%,5.19%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.88%,5.20%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,4.13%,4.93%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.63%,5.16%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.63%,5.10%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,4.13%,4.65%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.38%,4.82%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.13%,5.02%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.63%,4.81%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,5.00%,5.14%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,4.50%,4.89%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.75%,5.04%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,4.88%,5.09%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,4.63%,4.97%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-09-18,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.63%,4.88%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
